concept,FY 2025,FY 2024,FY 2023
stock_based_compensation,2825000000.0,1999000000.0,1812000000.0
depreciation_amortization,5030000000.0,4120000000.0,3330000000.0
operating_cash_flow,14747000000.0,14923000000.0,13256000000.0
capital_expenditures,8527000000.0,11339000000.0,8898000000.0
