,FY 2025,FY 2024,FY 2023
revenue_growth_yoy,-0.02930699150373628,0.009475783534663496,
net_income_growth_yoy,-0.4649555774925962,-0.5271721010868841,
diluted_eps_growth_yoy,-0.47058823529411764,-0.051162790697674376,
