,FY 2025,FY 2024,FY 2023
gross_margin,0.4690516410716045,0.4620634981523393,0.4413112957720756
operating_margin,0.31970799762591884,0.31510222870075566,0.2982141226502472
net_margin,0.2691506412181824,0.23971255769943867,0.2530623426432028
